name,url,description,test_type,duration,remote_testing,adaptive
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available. Front Line Manager, Manager, Supervisor, Eng","['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']",2,No,No
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available. Entry-Level, English (USA),","['Biodata & Situational Judgement', 'Ability & Aptitude', 'Personality & Behavior']",2,No,No
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development. Graduate, English (USA),",['Knowledge & Skills'],7,No,No
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,"The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work. General Population, English (USA),",['Personality & Behavior'],2,No,No
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more. Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, ",['Assessment Exercises'],2,No,No
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Mid-Professional, English (USA),",['Simulations'],2,No,No
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks. Mid-Professional, Professional Individual Contributor, English (USA),",['Simulations'],2,No,No
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-co",['Simulations'],2,No,No
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,"A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Mid-Professional, Professional Individual Contributor, English (USA),",['Simulations'],2,No,No
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,"A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. Professional Individual Contributor, Mid-Professional, English (USA),",['Simulations'],2,No,No
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored. Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager, English (USA),",['Simulations'],30,No,No
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-co",['Simulations'],2,No,No
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,"A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts. Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, English (USA),",['Simulations'],2,No,No
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,"Multi choice test that measures the candidate's basic understanding of Biology. Professional Individual Contributor, Graduate, Mid-Professional, English (USA),",['Knowledge & Skills'],2,No,No
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer. Entry-Level, English (USA","['Simulations', 'Knowledge & Skills']",2,No,No
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis. Graduate, Professional Individual Contributor, Mid-Professional, English (USA),",['Knowledge & Skills'],2,No,No
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. Entry-Level, Front Line Manager, Manager, Mid-Professional, ",['Knowledge & Skills'],2,No,No
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive. English (USA), Approx",['Knowledge & Skills'],2,No,No
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,,['Knowledge & Skills'],15,No,No
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,"Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering. Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English (USA),",['Knowledge & Skills'],2,No,No
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,"Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills. Entry-Level, English (USA),",['Simulations'],2,No,No
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response. English (USA), Approximate Completion Time in minutes = 11",['Simulations'],2,No,No
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,"The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis. Entry-Level, English (USA), English (Australia), English (Canada), English International, English (South Africa),","['Knowledge & Skills', 'Simulations']",2,No,No
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,"Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety. Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English (USA),",['Knowledge & Skills'],2,No,No
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account deta","['Biodata & Situational Judgement', 'Simulations']",2,No,No
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of custome","['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",2,No,No
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management. Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English (USA),",['Knowledge & Skills'],2,No,No
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,"Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data. Entry-Level, English (USA),",['Simulations'],2,No,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy. Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level, English (USA),",['Knowledge & Skills'],2,No,No
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard. Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager, English (USA),",['Knowledge & Skills'],2,No,No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,"Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed. Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction. Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase Entry-Level, Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Sp",['Personality & Behavior'],2,No,No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support. Graduate, Mid-Professional, Professional Individual Contributor, English (USA),",['Knowledge & Skills'],2,No,No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,"Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media. Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, English (USA),",['Knowledge & Skills'],2,No,No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnair",['Personality & Behavior'],2,No,No
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire",['Personality & Behavior'],2,No,No
